MATCH ID,MATCH NO,DATE,TIME,HOME TEAM,AWAY TEAM,MATCH,VENUE,URL
1304047,1st,26-03-2022,7:30 PM,Chennai Super Kings,Kolkata Knight Riders,"Chennai Super Kings vs Kolkata Knight Riders, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-kolkata-knight-riders-1st-match-1304047/live-cricket-score
1304048,2nd,27-03-2022,3:30 PM,Delhi Capitals,Mumbai Indians,"Delhi Capitals vs Mumbai Indians, 03:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/delhi-capitals-vs-mumbai-indians-2nd-match-1304048/live-cricket-score
1304049,3rd,27-03-2022,7:30 PM,Punjab Kings,Royal Challengers Bangalore,"Punjab Kings vs Royal Challengers Bangalore, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/punjab-kings-vs-royal-challengers-bangalore-3rd-match-1304049/live-cricket-score
1304050,4th,28-03-2022,7:30 PM,Gujarat Titans,Lucknow Super Giants,"Gujarat Titans vs Lucknow Super Giants, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-lucknow-super-giants-4th-match-1304050/live-cricket-score
1304051,5th,29-03-2022,7:30 PM,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad vs Rajasthan Royals, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-rajasthan-royals-5th-match-1304051/live-cricket-score
1304052,6th,30-03-2022,7:30 PM,Royal Challengers Bangalore,Kolkata Knight Riders,"Royal Challengers Bangalore vs Kolkata Knight Riders, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/royal-challengers-bangalore-vs-kolkata-knight-riders-6th-match-1304052/live-cricket-score
1304053,7th,31-03-2022,7:30 PM,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants vs Chennai Super Kings, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/lucknow-super-giants-vs-chennai-super-kings-7th-match-1304053/live-cricket-score
1304054,8th,01-04-2022,7:30 PM,Kolkata Knight Riders,Punjab Kings,"Kolkata Knight Riders vs Punjab Kings, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/kolkata-knight-riders-vs-punjab-kings-8th-match-1304054/live-cricket-score
1304055,9th,02-04-2022,3:30 PM,Mumbai Indians,Rajasthan Royals,"Mumbai Indians vs Rajasthan Royals, 03:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/mumbai-indians-vs-rajasthan-royals-9th-match-1304055/live-cricket-score
1304056,10th,02-04-2022,7:30 PM,Gujarat Titans,Delhi Capitals,"Gujarat Titans vs Delhi Capitals, 07:30 PM","MCA Stadium, Pune",https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/gujarat-titans-vs-delhi-capitals-10th-match-1304056/live-cricket-score
1304057,11th,03-04-2022,7:30 PM,Chennai Super Kings,Punjab Kings,"Chennai Super Kings vs Punjab Kings, 07:30 PM",Brabourne - CCI,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/chennai-super-kings-vs-punjab-kings-11th-match-1304057/live-cricket-score
1304058,12th,04-04-2022,7:30 PM,Sunrisers Hyderabad,Lucknow Super Giants,"Sunrisers Hyderabad vs Lucknow Super Giants, 07:30 PM",DY Patil Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/sunrisers-hyderabad-vs-lucknow-super-giants-12th-match-1304058/live-cricket-score
1304059,13th,05-04-2022,7:30 PM,Rajasthan Royals,Royal Challengers Bangalore,"Rajasthan Royals vs Royal Challengers Bangalore, 07:30 PM",Wankhede Stadium,https://www.espncricinfo.com/series/indian-premier-league-2022-1298423/rajasthan-royals-vs-royal-challengers-bangalore-13th-match-1304059/live-cricket-score
