iter	Passed	Remaining
0	159	159327
1	170	84877
2	179	59606
3	189	47287
4	199	39620
5	208	34545
6	218	30936
7	227	28151
8	236	26056
9	246	24369
10	255	22992
11	265	21841
12	274	20827
13	283	19967
14	292	19188
15	301	18518
16	309	17924
17	319	17411
18	328	16953
19	337	16525
20	347	16187
21	356	15844
22	366	15558
23	376	15320
24	386	15070
25	396	14835
26	405	14610
27	414	14382
28	423	14177
29	432	13981
30	441	13802
31	451	13644
32	460	13491
33	469	13330
34	478	13184
35	487	13043
36	496	12921
37	506	12815
38	515	12708
39	524	12596
40	533	12482
41	542	12379
42	552	12286
43	561	12197
44	572	12143
45	581	12064
46	591	11989
47	600	11904
48	609	11825
49	618	11745
50	627	11682
51	637	11613
52	645	11539
53	654	11468
54	663	11395
55	672	11342
56	682	11284
57	690	11221
58	699	11162
59	708	11102
60	717	11045
61	726	10990
62	735	10938
63	745	10907
64	758	10903
65	767	10861
66	776	10815
67	785	10772
68	794	10726
69	804	10682
70	812	10637
71	822	10600
72	831	10557
73	840	10518
74	849	10479
75	858	10436
76	868	10405
77	877	10370
78	886	10339
79	896	10306
80	905	10275
81	915	10251
82	924	10217
83	933	10184
84	943	10158
85	953	10137
86	963	10115
87	973	10086
88	982	10061
89	992	10033
90	1001	10005
91	1010	9973
92	1019	9944
93	1029	9919
94	1037	9887
95	1047	9860
96	1056	9831
97	1065	9806
98	1074	9776
99	1083	9748
100	1092	9725
101	1101	9701
102	1111	9675
103	1119	9648
104	1129	9629
105	1139	9610
106	1150	9600
107	1162	9603
108	1173	9590
109	1183	9576
110	1193	9555
111	1202	9535
112	1212	9517
113	1221	9496
114	1232	9484
115	1241	9464
116	1252	9455
117	1262	9434
118	1271	9413
119	1281	9394
120	1290	9376
121	1299	9354
122	1309	9337
123	1319	9320
124	1330	9311
125	1340	9300
126	1350	9282
127	1359	9264
128	1368	9243
129	1378	9223
130	1387	9201
131	1396	9181
132	1406	9166
133	1415	9144
134	1424	9125
135	1433	9105
136	1442	9085
137	1451	9064
138	1460	9047
139	1469	9028
140	1478	9006
141	1488	8991
142	1497	8976
143	1507	8958
144	1517	8948
145	1528	8939
146	1538	8929
147	1548	8912
148	1557	8893
149	1566	8874
150	1575	8856
151	1584	8839
152	1593	8821
153	1603	8809
154	1612	8792
155	1622	8776
156	1631	8761
157	1640	8743
158	1649	8727
159	1659	8711
160	1668	8693
161	1677	8674
162	1687	8666
163	1697	8651
164	1707	8639
165	1717	8628
166	1727	8616
167	1737	8604
168	1746	8589
169	1756	8574
170	1766	8564
171	1775	8548
172	1786	8539
173	1795	8525
174	1805	8510
175	1814	8496
176	1824	8483
177	1835	8474
178	1844	8459
179	1854	8446
180	1863	8433
181	1873	8418
182	1883	8407
183	1892	8392
184	1902	8381
185	1912	8370
186	1921	8354
187	1931	8341
188	1939	8324
189	1949	8310
190	1959	8297
191	1968	8284
192	1977	8269
193	1986	8253
194	1995	8238
195	2004	8222
196	2014	8210
197	2023	8196
198	2032	8182
199	2042	8170
200	2051	8154
201	2060	8140
202	2070	8127
203	2078	8111
204	2087	8096
205	2097	8083
206	2106	8071
207	2116	8058
208	2125	8046
209	2135	8031
210	2144	8018
211	2153	8006
212	2163	7992
213	2172	7978
214	2181	7964
215	2191	7953
216	2200	7940
217	2210	7929
218	2220	7918
219	2229	7904
220	2239	7894
221	2250	7885
222	2259	7873
223	2269	7860
224	2278	7847
225	2288	7837
226	2298	7826
227	2308	7817
228	2318	7806
229	2327	7792
230	2337	7781
231	2346	7767
232	2355	7755
233	2365	7742
234	2374	7729
235	2383	7717
236	2393	7704
237	2402	7692
238	2411	7679
239	2420	7664
240	2429	7651
241	2438	7637
242	2447	7623
243	2456	7609
244	2466	7599
245	2476	7590
246	2487	7581
247	2497	7573
248	2507	7562
249	2516	7550
250	2525	7537
251	2535	7524
252	2544	7512
253	2553	7499
254	2563	7488
255	2572	7475
256	2581	7463
257	2591	7451
258	2600	7439
259	2610	7429
260	2620	7418
261	2629	7405
262	2638	7392
263	2666	7433
264	2676	7424
265	2686	7412
266	2696	7401
267	2705	7389
268	2715	7378
269	2724	7367
270	2734	7354
271	2743	7343
272	2752	7330
273	2762	7320
274	2772	7308
275	2781	7296
276	2791	7285
277	2800	7273
278	2810	7263
279	2819	7249
280	2829	7239
281	2838	7227
282	2847	7214
283	2857	7203
284	2866	7190
285	2876	7180
286	2886	7170
287	2895	7158
288	2904	7146
289	2913	7133
290	2923	7121
291	2932	7109
292	2941	7098
293	2950	7086
294	2960	7075
295	2970	7065
296	2980	7054
297	2989	7041
298	2998	7029
299	3008	7019
300	3017	7008
301	3026	6995
302	3036	6984
303	3045	6972
304	3054	6960
305	3064	6950
306	3074	6939
307	3083	6928
308	3093	6918
309	3103	6907
310	3112	6895
311	3122	6884
312	3131	6872
313	3140	6860
314	3149	6849
315	3158	6836
316	3167	6825
317	3176	6813
318	3185	6800
319	3194	6788
320	3203	6775
321	3212	6763
322	3221	6752
323	3230	6740
324	3239	6728
325	3250	6719
326	3259	6708
327	3269	6698
328	3279	6688
329	3288	6676
330	3297	6664
331	3306	6653
332	3315	6641
333	3325	6630
334	3334	6618
335	3343	6606
336	3352	6596
337	3362	6585
338	3371	6573
339	3380	6562
340	3389	6549
341	3398	6538
342	3407	6526
343	3416	6515
344	3426	6504
345	3434	6492
346	3446	6485
347	3456	6476
348	3465	6465
349	3475	6454
350	3484	6443
351	3494	6433
352	3503	6422
353	3512	6410
354	3522	6399
355	3530	6387
356	3539	6375
357	3548	6363
358	3557	6352
359	3566	6340
360	3575	6329
361	3585	6318
362	3593	6306
363	3603	6295
364	3612	6284
365	3621	6273
366	3630	6261
367	3639	6250
368	3649	6240
369	3658	6229
370	3667	6217
371	3676	6206
372	3686	6196
373	3695	6184
374	3704	6173
375	3713	6162
376	3722	6151
377	3731	6140
378	3740	6129
379	3750	6119
380	3759	6107
381	3768	6096
382	3776	6084
383	3785	6072
384	3794	6060
385	3803	6050
386	3813	6040
387	3822	6028
388	3831	6017
389	3840	6006
390	3850	5997
391	3860	5986
392	3869	5976
393	3878	5965
394	3887	5953
395	3896	5942
396	3905	5931
397	3913	5920
398	3922	5908
399	3932	5898
400	3940	5886
401	3949	5875
402	3958	5864
403	3967	5853
404	3977	5843
405	3985	5831
406	3994	5820
407	4003	5809
408	4012	5797
409	4020	5786
410	4030	5775
411	4039	5765
412	4048	5754
413	4057	5743
414	4066	5732
415	4076	5722
416	4085	5711
417	4094	5700
418	4103	5689
419	4111	5678
420	4120	5667
421	4130	5656
422	4138	5645
423	4147	5634
424	4157	5624
425	4166	5613
426	4175	5603
427	4184	5592
428	4193	5581
429	4202	5570
430	4211	5559
431	4220	5548
432	4228	5537
433	4238	5527
434	4247	5517
435	4258	5509
436	4267	5498
437	4276	5487
438	4285	5476
439	4294	5465
440	4302	5454
441	4311	5442
442	4319	5431
443	4328	5420
444	4338	5410
445	4348	5401
446	4359	5392
447	4369	5383
448	4378	5373
449	4387	5362
450	4396	5351
451	4405	5340
452	4413	5329
453	4422	5318
454	4431	5308
455	4442	5300
456	4454	5293
457	4464	5283
458	4474	5273
459	4483	5263
460	4492	5253
461	4502	5242
462	4511	5232
463	4520	5222
464	4546	5230
465	4555	5220
466	4565	5210
467	4574	5200
468	4585	5191
469	4594	5181
470	4604	5171
471	4615	5163
472	4624	5152
473	4635	5143
474	4645	5134
475	4655	5124
476	4664	5114
477	4674	5104
478	4684	5095
479	4693	5084
480	4703	5074
481	4712	5064
482	4722	5054
483	4731	5044
484	4741	5034
485	4751	5025
486	4761	5015
487	4770	5005
488	4780	4996
489	4789	4985
490	4799	4975
491	4809	4966
492	4820	4956
493	4829	4947
494	4840	4938
495	4850	4928
496	4859	4918
497	4869	4908
498	4880	4900
499	4891	4891
500	4901	4881
501	4911	4872
502	4921	4863
503	4931	4853
504	4940	4842
505	4950	4832
506	4960	4823
507	4969	4812
508	4979	4802
509	4988	4793
510	4998	4783
511	5009	4775
512	5020	4765
513	5030	4756
514	5040	4746
515	5050	4736
516	5060	4728
517	5070	4718
518	5080	4708
519	5090	4699
520	5100	4689
521	5110	4679
522	5121	4670
523	5130	4660
524	5140	4651
525	5150	4641
526	5161	4632
527	5170	4622
528	5179	4611
529	5188	4601
530	5198	4591
531	5207	4581
532	5217	4571
533	5228	4562
534	5237	4552
535	5247	4542
536	5258	4533
537	5267	4523
538	5276	4513
539	5287	4504
540	5296	4494
541	5306	4483
542	5315	4473
543	5324	4463
544	5335	4454
545	5345	4444
546	5354	4434
547	5364	4424
548	5374	4415
549	5384	4405
550	5393	4395
551	5402	4384
552	5412	4375
553	5423	4366
554	5435	4357
555	5446	4349
556	5468	4348
557	5477	4338
558	5486	4328
559	5495	4318
560	5504	4307
561	5514	4297
562	5523	4287
563	5532	4277
564	5541	4266
565	5550	4256
566	5560	4246
567	5570	4236
568	5579	4226
569	5589	4216
570	5598	4206
571	5608	4196
